,precision,recall,f1-score,support
genuine,0.8147321428571429,0.8139750975655082,0.8143534442688481,26905.0
copy-move,0.8721685131606802,0.9189560950221198,0.8949512137723792,26899.0
face-morph,0.8533452474031051,0.8518546049208355,0.852599274621036,26906.0
face-replace,0.9400853273975144,0.9418323731648393,0.9409580393613071,26905.0
combined,0.9142240533647243,0.8659406823756783,0.8894275734381859,26906.0
accuracy,0.87850967506932,0.87850967506932,0.87850967506932,0.87850967506932
macro avg,0.8789110568366334,0.8785117706097963,0.8784579090923513,134521.0
weighted avg,0.8789114300307753,0.87850967506932,0.8784570627650253,134521.0
