,precision,recall,f1-score,support
genuine,0.7246779859484778,0.828064893794949,0.7729295136991647,23916.0
copy-move,0.7846876434650564,0.9290851312928583,0.8508031321195413,23916.0
face-morph,0.8364779874213837,0.6951413279812678,0.7592884382635702,23916.0
face-replace,0.9126824254881809,0.9282906840608798,0.9204203892954126,23916.0
combined,0.9108183430453509,0.7515888944639572,0.823577924904355,23916.0
accuracy,0.8264341863187824,0.8264341863187824,0.8264341863187824,0.8264341863187824
macro avg,0.83386887707369,0.8264341863187823,0.8254038796564087,119580.0
weighted avg,0.83386887707369,0.8264341863187824,0.8254038796564088,119580.0
