,precision,recall,f1-score,support
genuine,0.7920927684441198,0.7254557618330825,0.7573112178088172,23916.0
copy-move,0.836748237245956,0.8435357083124269,0.8401282638570774,23916.0
face-morph,0.8013935894883536,0.8415704967385851,0.8209908017376761,23916.0
face-replace,0.9080431881596506,0.9389111891620673,0.9232192414431082,23916.0
combined,0.8422561335469184,0.8354239839438033,0.838826147193417,23916.0
accuracy,0.836979427997993,0.836979427997993,0.836979427997993,0.836979427997993
macro avg,0.8361067833769997,0.836979427997993,0.8360951344080192,119580.0
weighted avg,0.8361067833769997,0.836979427997993,0.8360951344080191,119580.0
